Cluster,Phase,No.CT_Phase_Nuclei,No.Total_CT_Nuclei,Percent_CT_Phase_Nuclei
ASC,G1,871,2345,37.1428571428572
ASC,G2M,849,2345,36.2046908315565
ASC,S,625,2345,26.6524520255864
EPEN,G1,1,7,14.2857142857143
EPEN,G2M,5,7,71.4285714285714
EPEN,S,1,7,14.2857142857143
EXC,G1,26542,29754,89.2048127982792
EXC,G2M,1639,29754,5.50850305841231
EXC,S,1573,29754,5.28668414330846
INH,G1,8906,13056,68.2138480392157
INH,G2M,1975,13056,15.1271446078431
INH,S,2175,13056,16.6590073529412
NA,G1,73,558,13.0824372759857
NA,G2M,1,558,0.17921146953405
NA,S,484,558,86.7383512544803
OG,G1,52,549,9.47176684881603
OG,G2M,277,549,50.4553734061931
OG,S,220,549,40.0728597449909
OPC,G1,86,180,47.7777777777778
OPC,G2M,49,180,27.2222222222222
OPC,S,45,180,25
