Group,Condition,Phase,No.Phase_Nuclei,No.Total_Nuclei,Percent_Phase_Nuclei
F+ GFP,Null,G1,5053,6420,78.7071651090343
F+ Td,WT,G1,5956,7632,78.0398322851153
FF GFP,Null,G1,7070,9287,76.1279207494347
FF Td,Null,G1,7414,9363,79.184022215102
WT GFP,WT,G1,5116,6433,79.527436654749
WT Td,WT,G1,5922,7314,80.9680065627564
F+ GFP,Null,G2M,662,6420,10.3115264797508
F+ Td,WT,G2M,816,7632,10.6918238993711
FF GFP,Null,G2M,1066,9287,11.4784106815979
FF Td,Null,G2M,904,9363,9.65502509879312
WT GFP,WT,G2M,658,6433,10.2285092491839
WT Td,WT,G2M,689,7314,9.42028985507246
F+ GFP,Null,S,705,6420,10.981308411215
F+ Td,WT,S,860,7632,11.2683438155136
FF GFP,Null,S,1151,9287,12.3936685689674
FF Td,Null,S,1045,9363,11.1609526861049
WT GFP,WT,S,659,6433,10.2440540960672
WT Td,WT,S,703,7314,9.61170358217118
