Group,Condition,customclassif,No.CT_Nuclei,No.Total_Nuclei,Percent_CT_Nuclei
F+ GFP,Null,GABAergic neurons,1585,6419,24.692319675962
FF GFP,Null,GABAergic neurons,1333,9279,14.3657721737256
FF Td,Null,GABAergic neurons,1742,9360,18.6111111111111
F+ Td,WT,GABAergic neurons,1982,7631,25.9730048486437
WT GFP,WT,GABAergic neurons,1370,6430,21.3063763608087
WT Td,WT,GABAergic neurons,1825,7314,24.9521465682253
F+ GFP,Null,Immature neurons,1408,6419,21.934880822558
FF GFP,Null,Immature neurons,2283,9279,24.6039443905593
FF Td,Null,Immature neurons,2323,9360,24.8183760683761
F+ Td,WT,Immature neurons,1608,7631,21.0719433888088
WT GFP,WT,Immature neurons,1462,6430,22.7371695178849
WT Td,WT,Immature neurons,1570,7314,21.465682253213
F+ GFP,Null,Mature neurons,1502,6419,23.3992833774731
FF GFP,Null,Mature neurons,2588,9279,27.8909365233323
FF Td,Null,Mature neurons,2518,9360,26.9017094017094
F+ Td,WT,Mature neurons,1621,7631,21.2423011400865
WT GFP,WT,Mature neurons,1635,6430,25.4276827371695
WT Td,WT,Mature neurons,1860,7314,25.4306808859721
F+ GFP,Null,Neural Progenitor cells,1077,6419,16.7783143791868
FF GFP,Null,Neural Progenitor cells,1717,9279,18.5041491540037
FF Td,Null,Neural Progenitor cells,1549,9360,16.5491452991453
F+ Td,WT,Neural Progenitor cells,1332,7631,17.4551172847595
WT GFP,WT,Neural Progenitor cells,1105,6430,17.1850699844479
WT Td,WT,Neural Progenitor cells,1189,7314,16.2564943943123
F+ GFP,Null,Neuroblasts,252,6419,3.92584514721919
FF GFP,Null,Neuroblasts,486,9279,5.2376333656644
FF Td,Null,Neuroblasts,458,9360,4.89316239316239
F+ Td,WT,Neuroblasts,308,7631,4.03616826104049
WT GFP,WT,Neuroblasts,300,6430,4.6656298600311
WT Td,WT,Neuroblasts,313,7314,4.27946404156412
F+ GFP,Null,Neuroepithelial cells,6,6419,0.0934725035052189
FF GFP,Null,Neuroepithelial cells,3,9279,0.0323310701584222
FF Td,Null,Neuroepithelial cells,11,9360,0.117521367521368
F+ Td,WT,Neuroepithelial cells,23,7631,0.301402175337439
WT GFP,WT,Neuroepithelial cells,2,6430,0.031104199066874
WT Td,WT,Neuroepithelial cells,23,7314,0.314465408805031
F+ GFP,Null,Non myelinating Schwann cells,86,6419,1.33977255024147
FF GFP,Null,Non myelinating Schwann cells,118,9279,1.27168875956461
FF Td,Null,Non myelinating Schwann cells,127,9360,1.35683760683761
F+ Td,WT,Non myelinating Schwann cells,43,7631,0.563491023456952
WT GFP,WT,Non myelinating Schwann cells,35,6430,0.544323483670295
WT Td,WT,Non myelinating Schwann cells,57,7314,0.779327317473339
F+ GFP,Null,Oligodendrocytes,20,6419,0.311575011684063
FF GFP,Null,Oligodendrocytes,40,9279,0.43108093544563
FF Td,Null,Oligodendrocytes,26,9360,0.277777777777778
F+ Td,WT,Oligodendrocytes,60,7631,0.786266544358537
WT GFP,WT,Oligodendrocytes,37,6430,0.57542768273717
WT Td,WT,Oligodendrocytes,36,7314,0.492206726825267
F+ GFP,Null,Radial glial cells,483,6419,7.52453653217012
FF GFP,Null,Radial glial cells,711,9279,7.66246362754607
FF Td,Null,Radial glial cells,606,9360,6.47435897435898
F+ Td,WT,Radial glial cells,654,7631,8.57030533350806
WT GFP,WT,Radial glial cells,484,6430,7.52721617418352
WT Td,WT,Radial glial cells,441,7314,6.02953240360952
