customclassif,Phase,No.CT_Phase_Nuclei,No.Total_CT_Nuclei,Percent_CT_Phase_Nuclei
Dividing,G1,550,6523,8.43170320404722
Dividing,G2M,3716,6523,56.9676529204354
Dividing,S,2257,6523,34.6006438755174
Excitatory neurons,G1,9220,9338,98.736346112658
Excitatory neurons,G2M,9,9338,0.0963803812379524
Excitatory neurons,S,109,9338,1.16727350610409
Inhibitory neurons,G1,5952,6302,94.4462075531577
Inhibitory neurons,G2M,33,6302,0.523643287845129
Inhibitory neurons,S,317,6302,5.03014915899714
Intermediate progenitors,G1,7659,7785,98.3815028901734
Intermediate progenitors,G2M,12,7785,0.154142581888247
Intermediate progenitors,S,114,7785,1.46435452793834
Mature neurons,G1,13705,13882,98.7249675839216
Mature neurons,G2M,40,13882,0.288142918887768
Mature neurons,S,137,13882,0.986889497190607
OPCs,G1,146,222,65.7657657657658
OPCs,G2M,35,222,15.7657657657658
OPCs,S,41,222,18.4684684684685
Radial glia,G1,1042,2397,43.471005423446
Radial glia,G2M,843,2397,35.1689612015019
Radial glia,S,512,2397,21.3600333750522
