Group,Condition,Phase,No.Phase_Nuclei,No.Total_Nuclei,Percent_Phase_Nuclei
F+ GFP,Null,G1,5283,6420,82.2897196261682
F+ Td,WT,G1,6190,7632,81.1058700209644
FF GFP,Null,G1,7501,9287,80.7688166253903
FF Td,Null,G1,7784,9363,83.135747089608
WT GFP,WT,G1,5356,6433,83.2581999067309
WT Td,WT,G1,6160,7314,84.2220399234345
F+ GFP,Null,G2M,648,6420,10.0934579439252
F+ Td,WT,G2M,809,7632,10.6001048218029
FF GFP,Null,G2M,1002,9287,10.789275331108
FF Td,Null,G2M,890,9363,9.50550037381181
WT GFP,WT,G2M,642,6433,9.97979169905176
WT Td,WT,G2M,697,7314,9.5296691277003
F+ GFP,Null,S,489,6420,7.61682242990654
F+ Td,WT,S,633,7632,8.29402515723271
FF GFP,Null,S,784,9287,8.44190804350167
FF Td,Null,S,689,9363,7.35875253658016
WT GFP,WT,S,435,6433,6.76200839421732
WT Td,WT,S,457,7314,6.24829094886519
