Group,Condition,Phase,No.Phase_Nuclei,No.Total_Nuclei,Percent_Phase_Nuclei
F+ GFP,Null,G1,5272,6419,82.131173079919
F+ Td,WT,G1,6195,7631,81.182020705019
FF GFP,Null,G1,7491,9279,80.7306821855803
FF Td,Null,G1,7786,9360,83.1837606837607
WT GFP,WT,G1,5346,6430,83.1415241057543
WT Td,WT,G1,6160,7314,84.2220399234345
F+ GFP,Null,G2M,649,6419,10.1106091291478
F+ Td,WT,G2M,808,7631,10.5883894640283
FF GFP,Null,G2M,1001,9279,10.7878004095269
FF Td,Null,G2M,888,9360,9.48717948717949
WT GFP,WT,G2M,639,6430,9.93779160186625
WT Td,WT,G2M,696,7314,9.51599671862182
F+ GFP,Null,S,498,6419,7.75821779093317
F+ Td,WT,S,628,7631,8.22958983095269
FF GFP,Null,S,787,9279,8.48151740489277
FF Td,Null,S,686,9360,7.32905982905983
WT GFP,WT,S,445,6430,6.92068429237947
WT Td,WT,S,458,7314,6.26196335794367
