"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.837971758871212,0.842,0.174,0,"Mature neurons","9130024F11Rik"
0,0.679892086006862,0.978,0.52,0,"Mature neurons","Zbtb18"
0,0.674193266805167,0.983,0.58,0,"Mature neurons","Gria2"
0,0.657475018094407,0.718,0.116,0,"Mature neurons","Satb2"
0,0.647048551429457,0.753,0.154,0,"Mature neurons","Cntn2"
0,0.643018350575426,0.788,0.21,0,"Mature neurons","Nrp1"
0,0.63927686150181,0.971,0.47,0,"Mature neurons","Neurod6"
0,0.601480418527428,0.976,0.55,0,"Mature neurons","Ttc28"
0,0.587964336012374,0.882,0.462,0,"Mature neurons","Gpm6a"
0,0.576654028739902,0.918,0.4,0,"Mature neurons","Neurod2"
0,0.557996177675207,0.914,0.473,0,"Mature neurons","Myt1l"
0,0.554829187301612,0.739,0.208,0,"Mature neurons","Bhlhe22"
0,0.532452042399595,0.617,0.1,0,"Mature neurons","Hs6st2"
0,0.525925897052027,0.905,0.568,0,"Mature neurons","Bcl11a"
0,0.488049659358944,0.931,0.581,0,"Mature neurons","Tsc22d1"
0,1.13759517129804,0.83,0.254,0,"Neural Progenitor cells","Hmgb2"
0,0.876197589891291,0.845,0.33,0,"Neural Progenitor cells","Ccnd2"
0,0.873235776493465,0.52,0.038,0,"Neural Progenitor cells","Top2a"
0,0.851641721270238,0.424,0.042,0,"Neural Progenitor cells","Hist1h1b"
0,0.788897094974255,0.896,0.436,0,"Neural Progenitor cells","Hmgn2"
0,0.775772545321867,0.566,0.041,0,"Neural Progenitor cells","Pclaf"
0,0.766301080875601,0.521,0.05,0,"Neural Progenitor cells","Cenpf"
0,0.731693808484685,0.488,0.05,0,"Neural Progenitor cells","Ube2c"
0,0.69919522559754,0.525,0.038,0,"Neural Progenitor cells","Mki67"
0,0.653102748953479,0.932,0.802,0,"Neural Progenitor cells","H2afz"
0,0.624373536100032,0.476,0.054,0,"Neural Progenitor cells","Cks2"
0,0.613158231217576,0.51,0.045,0,"Neural Progenitor cells","Cdca8"
0,0.611008348776844,0.569,0.13,0,"Neural Progenitor cells","Smc2"
0,0.610636803095004,0.957,0.697,0,"Neural Progenitor cells","H2afv"
0,0.604757033729106,0.446,0.042,0,"Neural Progenitor cells","Cenpa"
0,1.59303404029804,0.952,0.314,0,"Radial glial cells","Fabp7"
0,1.46765695637794,0.99,0.312,0,"Radial glial cells","Dbi"
0,1.31901084323857,0.944,0.208,0,"Radial glial cells","Vim"
0,1.2528771890747,0.787,0.084,0,"Radial glial cells","Mt3"
0,1.05059577690215,0.838,0.061,0,"Radial glial cells","Ddah1"
0,0.918980830382104,0.864,0.368,0,"Radial glial cells","Ptprz1"
0,0.899922290803625,0.812,0.104,0,"Radial glial cells","Slc1a3"
0,0.883068699194743,0.964,0.446,0,"Radial glial cells","Ckb"
0,0.864469791523005,0.655,0.011,0,"Radial glial cells","Aldoc"
0,0.824963167315623,0.74,0.03,0,"Radial glial cells","Mfge8"
0,0.80318992832141,0.846,0.347,0,"Radial glial cells","Qk"
0,0.778507320252109,0.922,0.589,0,"Radial glial cells","Ptn"
0,0.767890704007988,0.648,0.044,0,"Radial glial cells","Mt1"
0,0.751032636936348,0.936,0.362,0,"Radial glial cells","Gng5"
0,0.747649202275235,0.735,0.157,0,"Radial glial cells","Pea15a"
0,0.879972891509031,0.919,0.176,0,"Neuroblasts","Eomes"
0,0.724137735724949,0.787,0.239,0,"Neuroblasts","Pcp4"
0,0.570377658790156,0.819,0.289,0,"Neuroblasts","Pam"
0,0.553926309137047,0.752,0.227,0,"Neuroblasts","Nrn1"
0,0.551995372012535,0.932,0.537,0,"Neuroblasts","Mdk"
0,0.487058461711258,0.784,0.316,0,"Neuroblasts","Ezr"
