MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15,,mitotic spindle assembly,,,ISO,Q9NRG9 ,J:164563 
MGI:1929608,Aatf,apoptosis antagonizing transcription factor,11,,regulation of mitotic cell cycle,regulates mitotic cell cycle,,IMP,MGI:2176283 ,J:65741 
MGI:97570,Abcb1a,"ATP-binding cassette, sub-family B member 1A",5,,G2/M transition of mitotic cell cycle,,,ISO,P08183 ,J:164563 
MGI:97568,Abcb1b,"ATP-binding cassette, sub-family B member 1B",5,,G2/M transition of mitotic cell cycle,,,ISO,P08183 ,J:164563 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,negative regulation of mitotic cell cycle,,,IDA,,J:32537 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,negative regulation of mitotic cell cycle,,,IGI,MGI:97874 ,J:32537 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,negative regulation of mitotic cell cycle,,,IGI,MGI:98834 ,J:32537 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,positive regulation of mitotic cell cycle,,,IGI,MGI:97528 ,J:140959 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,positive regulation of mitotic cell cycle,,,IGI,MGI:99511 ,J:140959 
MGI:1917931,Abraxas1,BRCA1 A complex subunit,5,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q6UWZ7 ,J:164563 
MGI:1917931,Abraxas1,BRCA1 A complex subunit,5,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:1917931,Abraxas1,BRCA1 A complex subunit,5,,mitotic spindle assembly,,,IBA,PTN001272083 ,J:265628 
MGI:1926116,Abraxas2,BRISC complex subunit,7,,mitotic cell cycle,,,ISO,Q15018 ,J:164563 
MGI:1926116,Abraxas2,BRISC complex subunit,7,,mitotic spindle assembly,,,IBA,PTN001272083 ,J:265628 
MGI:1926116,Abraxas2,BRISC complex subunit,7,,mitotic spindle assembly,,,ISO,Q15018 ,J:164563 
MGI:87904,Actb,"actin, beta",5,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:87904,Actb,"actin, beta",5,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:87904,Actb,"actin, beta",5,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1861453,Actl6a,actin-like 6A,3,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1861453,Actl6a,actin-like 6A,3,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1861453,Actl6a,actin-like 6A,3,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1933548,Actl6b,actin-like 6B,5,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1933548,Actl6b,actin-like 6B,5,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1933548,Actl6b,actin-like 6B,5,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,Q04771 ,J:164563 
MGI:1338944,Acvr1b,"activin A receptor, type 1B",15,,G1/S transition of mitotic cell cycle,,,ISO,P36896 ,J:164563 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,P78536 ,J:164563 
MGI:109249,Adamts1,ADAM metallopeptidase with thrombospondin type 1 motif 1,16,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q9UHI8 ,J:164563 
