Group,EGFR_Status,customclassif,No.CT_Nuclei,No.Total_Nuclei,Percent_CT_Nuclei
het GFP,Null,Astrocytes,66,9279,0.711283543485289
hom GFP,Null,Astrocytes,371,13137,2.82408464641851
hom TDT,Null,Astrocytes,263,10680,2.4625468164794
het TDT,WT,Astrocytes,1974,12208,16.1697247706422
wt GFP,WT,Astrocytes,410,7958,5.15204825332998
wt TDT,WT,Astrocytes,560,8044,6.9617105917454
het GFP,Null,Dividing,1413,9279,15.2279340446169
hom GFP,Null,Dividing,1659,13137,12.6284539849281
hom TDT,Null,Dividing,1462,10680,13.689138576779
het TDT,WT,Dividing,1130,12208,9.2562254259502
wt GFP,WT,Dividing,1344,7958,16.8886654938427
wt TDT,WT,Dividing,1122,8044,13.9482844356042
het GFP,Null,Inhibitory neurons,1285,9279,13.8484750511909
hom GFP,Null,Inhibitory neurons,2134,13137,16.2441957829033
hom TDT,Null,Inhibitory neurons,1674,10680,15.6741573033708
het TDT,WT,Inhibitory neurons,384,12208,3.14547837483617
wt GFP,WT,Inhibitory neurons,1060,7958,13.3199296305604
wt TDT,WT,Inhibitory neurons,878,8044,10.9149676777723
het GFP,Null,Mature neurons,4061,9279,43.7654919711176
hom GFP,Null,Mature neurons,5562,13137,42.3384334322905
hom TDT,Null,Mature neurons,4349,10680,40.7209737827715
het TDT,WT,Mature neurons,2770,12208,22.6900393184797
wt GFP,WT,Mature neurons,2540,7958,31.9175672279467
wt TDT,WT,Mature neurons,2091,8044,25.9945300845351
het GFP,Null,Microglia,208,9279,2.24162086431728
hom GFP,Null,Microglia,263,13137,2.00197914287889
hom TDT,Null,Microglia,232,10680,2.17228464419476
het TDT,WT,Microglia,301,12208,2.46559633027523
wt GFP,WT,Microglia,40,7958,0.502638853983413
wt TDT,WT,Microglia,69,8044,0.857782197911487
het GFP,Null,Oligodendrocytes,120,9279,1.29324280633689
hom GFP,Null,Oligodendrocytes,155,13137,1.17987363933927
hom TDT,Null,Oligodendrocytes,123,10680,1.15168539325843
het TDT,WT,Oligodendrocytes,214,12208,1.75294888597641
wt GFP,WT,Oligodendrocytes,82,7958,1.030409650666
wt TDT,WT,Oligodendrocytes,147,8044,1.82744903033317
het GFP,Null,OPCs,361,9279,3.89050544239681
hom GFP,Null,OPCs,862,13137,6.56161985232549
hom TDT,Null,OPCs,735,10680,6.88202247191011
het TDT,WT,OPCs,1486,12208,12.1723460026212
wt GFP,WT,OPCs,805,7958,10.1156069364162
wt TDT,WT,OPCs,1098,8044,13.6499254102437
het GFP,Null,Radial glia,1765,9279,19.0214462765384
hom GFP,Null,Radial glia,2131,13137,16.221359518916
hom TDT,Null,Radial glia,1842,10680,17.247191011236
het TDT,WT,Radial glia,3949,12208,32.3476408912189
wt GFP,WT,Radial glia,1677,7958,21.0731339532546
wt TDT,WT,Radial glia,2079,8044,25.8453505718548
