customclassif,Phase,No.CT_Phase_Nuclei,No.Total_CT_Nuclei,Percent_CT_Phase_Nuclei
Astrocytes,G1,3265,3644,89.5993413830955
Astrocytes,G2M,114,3644,3.12843029637761
Astrocytes,S,265,3644,7.27222832052689
Dividing,G1,651,8130,8.00738007380074
Dividing,G2M,4105,8130,50.4920049200492
Dividing,S,3374,8130,41.5006150061501
Inhibitory neurons,G1,6912,7415,93.2164531355361
Inhibitory neurons,G2M,81,7415,1.09238031018206
Inhibitory neurons,S,422,7415,5.69116655428186
Mature neurons,G1,21052,21373,98.498105085856
Mature neurons,G2M,106,21373,0.495952837692416
Mature neurons,S,215,21373,1.0059420764516
Microglia,G1,1011,1113,90.8355795148248
Microglia,G2M,50,1113,4.49236298292902
Microglia,S,52,1113,4.67205750224618
Oligodendrocytes,G1,824,841,97.9785969084423
Oligodendrocytes,G2M,8,841,0.951248513674197
Oligodendrocytes,S,9,841,1.07015457788347
OPCs,G1,4128,5347,77.2021694408079
OPCs,G2M,567,5347,10.6040770525528
OPCs,S,652,5347,12.1937535066392
Radial glia,G1,11945,13443,88.8566540206799
Radial glia,G2M,627,13443,4.66413746931489
Radial glia,S,871,13443,6.47920851000521
