customclassif,Phase,No.CT_Phase_Nuclei,No.Total_CT_Nuclei,Percent_CT_Phase_Nuclei
Astrocytes,G1,9096,9805,92.7689954105048
Astrocytes,G2M,207,9805,2.11116777154513
Astrocytes,S,502,9805,5.11983681795003
Endothelial cells,G1,588,628,93.6305732484077
Endothelial cells,G2M,12,628,1.91082802547771
Endothelial cells,S,28,628,4.45859872611465
GABAergic neurons,G1,5803,5900,98.3559322033898
GABAergic neurons,G2M,33,5900,0.559322033898305
GABAergic neurons,S,64,5900,1.08474576271186
Immature neurons,G1,11940,12731,93.7868195742675
Immature neurons,G2M,686,12731,5.38842196213966
Immature neurons,S,105,12731,0.824758463592805
Mature neurons,G1,5868,5979,98.1435022579027
Mature neurons,G2M,42,5979,0.702458605117913
Mature neurons,S,69,5979,1.15403913697943
Microglial cells,G1,461,535,86.1682242990654
Microglial cells,G2M,41,535,7.66355140186916
Microglial cells,S,33,535,6.16822429906542
Neural Progenitor cells,G1,21,2679,0.783874580067189
Neural Progenitor cells,G2M,1877,2679,70.0634565136245
Neural Progenitor cells,S,781,2679,29.1526689063083
Neuroblasts,G1,4482,7978,56.1794936074204
Neuroblasts,G2M,1294,7978,16.2196039107546
Neuroblasts,S,2202,7978,27.600902481825
Oligodendrocyte precursor cells,G1,3894,5094,76.4428739693758
Oligodendrocyte precursor cells,G2M,563,5094,11.0522182960346
Oligodendrocyte precursor cells,S,637,5094,12.5049077345897
Oligodendrocytes,G1,1631,2494,65.3969526864475
Oligodendrocytes,G2M,36,2494,1.44346431435445
Oligodendrocytes,S,827,2494,33.1595829991981
Radial glial cells,G1,6004,7483,80.235199786182
Radial glial cells,G2M,867,7483,11.5862621943071
Radial glial cells,S,612,7483,8.17853801951089
