Group,EGFR_Status,Phase,No.Phase_Nuclei,No.Total_Nuclei,Percent_Phase_Nuclei
het GFP,Null,G1,7435,9279,80.1271688759565
het TDT,WT,G1,10351,12208,84.7886631716907
hom GFP,Null,G1,10796,13137,82.1801020019792
hom TDT,Null,G1,8668,10680,81.1610486891386
wt GFP,WT,G1,6218,7958,78.1352098517215
wt TDT,WT,G1,6320,8044,78.5678766782695
het GFP,Null,G2M,945,9279,10.184287099903
het TDT,WT,G2M,843,12208,6.90530799475754
hom GFP,Null,G2M,1156,13137,8.79957372307224
hom TDT,Null,G2M,1046,10680,9.7940074906367
wt GFP,WT,G2M,839,7958,10.5428499623021
wt TDT,WT,G2M,829,8044,10.3058180009945
het GFP,Null,S,899,9279,9.68854402414053
het TDT,WT,S,1014,12208,8.30602883355177
hom GFP,Null,S,1185,13137,9.02032427494862
hom TDT,Null,S,966,10680,9.04494382022472
wt GFP,WT,S,901,7958,11.3219401859764
wt TDT,WT,S,895,8044,11.126305320736
