"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
"Nes","Abat","Eomes","Neurod6","Igfn1","Dlx1","1110054m08Rik","Apbb1ip","Plekhb1","Pdgfra","Au021092","Mcm5"
"Notch1","Acsbg1","Tbr2","Glra2","Vwa3a","Dlx6","2610017i09Rik","Aif1","Gjb1","C1ql1","Adgrl4","Pcna"
"Sox10","Akap12",NA,"Rpl10","Otof","Erbb4","2610100l16Rik","Tyrobp","Ppp1r14a","Lhfpl3","Cldn5","Tyms"
"Cdh1","Apbb2",NA,"Prdm8","Hkdc1","Btbd11","2900052n01Rik","C3","Mbl2","Vxn","Nostrin","Fen1"
"Hmga2","Arap2",NA,"Sepsecs","Ptgs2","Myl1","9630001p10Rik","Cd74","Aspa","Megf11","Icam2","Mcm2"
"Ccnd1","Atp1a2",NA,"Crh","Clec18a","Ankrd55","Aass","C1qb","Mog","Pcdh15","Slco1a4","Mcm4"
NA,"Axl",NA,"Gabrg2","Kcnh4","Cenpa","Abcb9","Laptm5","Ndrg1","Lrrtm3","Flt1","Rrm1"
NA,"Bmp7",NA,"Htr2c","Exph5","Slc32a1","Abhd1","Alox5ap","Mal","Cspg4","Slc38a5","Ung"
NA,"Bmpr1b",NA,"Hs3st2","Kcnv1","Dusp10","Acadvl","Slco1b1","Opalin","Gria3","Tek","Gins2"
NA,"Brca1",NA,"Mal2","Slc24a4","Slc6a1","Acot11","Rgs10","Gsn","Dll3","E030010a14Rik","Mcm6"
NA,"C8orf4",NA,"9130024f11Rik","Plxnd1","Kcnip1","Acsbg1","Ly86","Adss1","Nxph1","Apold1","Cdca7"
NA,"Carhsp1",NA,"Necab1","Fxyd5","Sdsl","Acsl3","Hla-dra","Pdlim2","Cacng4","Aplnr","Dtl"
NA,"Cdca7l",NA,"Stmn2","Ntn5","Kcnmb3","Acsl6","Hcls1","Trp53inp2","Brinp3","Emcn","Prim1"
NA,"Cdk6",NA,"Gabra5","Palmd","Uba2","Acss1","Csf1r","Gpr62","Smoc1","Abcb1a","Uhrf1"
NA,"Cdon",NA,"Nts","Neurod1","Vwc2","Acss2","Cybb","Prr18","Pkmyt1","Esam","Mlf1ip"
NA,"Clu",NA,"A130090k04Rik","Robo3","Gjd2","Adcy2","Fyb1","Tppp3","Cntn1","Prnd","Hells"
NA,"Col11a1",NA,"Gabra1","Adam33","Gad1","Add3","C1qa","Mobp","Adam12","Cd93","Rfc2"
NA,"Creb5",NA,"Satb2","Col6a1","Ngf","Adk","Havcr2","Cryab","Ncald","Ca4","Rpa2"
NA,"Cryab",NA,"Gpr88","Boc","Gm1604b","Agl","Alox5","Nkx6-2","Cdo1","Tie1","Nasp"
NA,"Csda",NA,"Syt1","Scube1","Dlx5","Agpat3","Syk","Ermn","Sulf2","Ctla2a","Rad51ap1"
NA,"Ctgf",NA,"4930544g21Rik","Atp2b4","Mybpc1","Agpat5","Cx3cr1","Gpr37","Ccar2","Adgrf5","Gmnn"
NA,"Dach1",NA,"Paep","Nptx1","Zfp536","Ahcyl1","Slc2a5","Fa2h","Mmp15","Kdr","Wdr76"
NA,"Dbi",NA,"Myt1l","Fcgr1b","Rnaset2b","Aifm2","Dock8","S1pr5","Gpt2","Slc16a4","Slbp"
NA,"Ddah1",NA,"Slc17a6","Abi3bp","Snx8","Ak4","Selplg","4-sep","Sntg1","Ly6c1","Ccne2"
NA,"Ddit3",NA,"A930034l06Rik","Sv2b","Grin2d","Akt2","Susd3","Efhd1","Dll1","Ocln","Ubr7"
NA,"Dio2",NA,"A930009l07Rik","Ntng2","Rbms3","Aldh7a1","Igsf6","Terf1","Olfm2","Lsr","Pold3"
NA,"Dnajc1",NA,"Npas4","Serinc2","Sema4g","Aldoc","Hla-dma","Cldn11","Col1a2","Erg","Msh2"
NA,"Dock1",NA,"Calb1","Gpr26","Rpp25","Alpk1","Rnaset2","Apod","Xylt1","Cdh5","Atad2"
NA,"Dok5",NA,"Slc12a5","Il17ra","Map3k1","Amer2","Trem2","Trak2","Ntn1","Pglyrp1","Rad51"
NA,"Ednrb",NA,"Epha7","Slc17a7","Pcp4l1","Ampd3","Adora3","Lpar1","B3gat2","Tm4sf1","Rrm2"
NA,"Eepd1",NA,"Cpamd8","Klf10","Afap1","Amt","Arhgdib","Desi1","Fam89a","Nos3","Cdc45"
